id	filename	md5	size	state
47f3771f-eea6-4b7b-a26d-61ba5a60c7de	TCGA-B6-A0I8-01A-01-BSA.d20073fa-473e-45d9-b4a7-8c730a598421.svs	f6ab1ff148500b6e4d59cd160a91d2ff	375893343	released
cf230bf5-e609-4d55-bdfb-ef11400b7014	TCGA-B6-A0I6-01A-01-BSA.396e5da4-a3b2-4e76-8866-1d78438eaf1c.svs	33564e93c7fe6c7bd025b3322b0a53dc	274248375	released
27a130bb-89c5-4b8a-9003-f78376f5fb6a	TCGA-B6-A0X1-01A-01-BSA.36508b6e-a0fc-4492-a094-eb2b438156a8.svs	85faf0da4003e37c58c4d1cbc833390c	86535969	released
acbb02e6-5995-4f7a-b709-ed14c4a10a91	TCGA-AR-A0TR-01A-01-BSA.f1455ed0-393b-495c-9618-bbe3088baf4d.svs	4915dd67ffd8cb5898f74a7888e28ef8	251299173	released
5a1d1f1c-35e7-4257-84e9-a6f938d1ef4a	TCGA-BH-A0BP-01A-01-BSA.e3fa75e0-9c2b-4eec-8d44-3b10237c1571.svs	4924580d121656fff352e9a1dfb9c099	119917519	released
889d0814-e238-4d17-a345-743d34b54771	TCGA-AR-A0TZ-01A-01-BSA.614177ad-6f45-47b3-abb8-6a682f307795.svs	e115a239c31edb9c5ca7cc0f187498fc	167849343	released
09ff00ef-b6ac-4602-b85d-b4ebefb7727e	TCGA-B6-A0RQ-01A-01-BSA.47ecd2ab-489d-4880-85b5-c718d4ceb477.svs	3b8eb4db9b0e1e5da0054ab427734802	262289401	released
19e7255b-be37-498f-93de-05abc5eb86c0	TCGA-A7-A13E-01A-01-BSA.6abb32ba-9836-4032-94cb-7113e0dce7aa.svs	2f2d597701084c66e4f49e35000fa73f	192874549	released
69858c97-32ac-412c-afc5-c37ed68b29c2	TCGA-A2-A0CS-01A-01-BSA.a932a854-ba6f-4a29-9fdc-4f5ce63e440c.svs	6cc47670a664ba39380b418dd39bb6fd	397688199	released
d9c17842-2253-4b59-a0bd-57e9820048d5	TCGA-A2-A0SW-01A-01-BSA.7a710f66-502f-43fa-94eb-742243cf2aff.svs	65bf8a6bd1e142c6728f509dbc0b8187	200214655	released
07799d29-6525-4939-9b8f-e2234c76c437	TCGA-A8-A08L-01A-01-BSA.974269aa-b6eb-414a-afc3-0b0ceb146c9f.svs	9b1f3b0a76483db1d3339f3196386e92	431087159	released
8f23c7f7-4b8a-436b-aa72-b772bba7793a	TCGA-B6-A0IB-01A-01-BSA.2cd7198d-8930-464c-b313-3182d7910f41.svs	597edde943b1371cf3f41ccedfea67db	174815123	released
c4478142-a88b-412b-a591-e216fd370870	TCGA-B6-A0RL-01A-01-BSA.448744f8-8c40-4d41-ad86-e59e8fd63b47.svs	df4b1430f914eaf514dfc8cf7e1e90b4	126418317	released
ea0855bd-6ad0-4c51-8d5d-ae14e5d6ffdd	TCGA-B6-A0I9-01A-01-BSA.e73de4e1-e5cc-472e-8af8-93d5d32422f8.svs	8eeb049e7f15ce9ee30aa2e71928a177	153678809	released
4d559407-a659-4ccb-a81e-b6d1e9093f46	TCGA-B6-A0I1-01A-01-BSA.6E0B6FB6-B708-4218-A709-D39E455D6700.svs	5de2f32d59ea0bfc98b89e07c5f83efb	401925625	released
29476ac1-5fad-4f62-a543-7130c5c6bed8	TCGA-B6-A0IG-01A-01-BSA.f4b6e4d4-e56d-479f-8bd9-8be8eca6d7c7.svs	7766d5702fe9dcd49cac38d671df5918	361806847	released
d19cbf2b-1b0e-4ef8-8b12-0899f823048f	TCGA-AQ-A0Y5-01A-01-BSA.0402a8fd-a121-4a86-927e-073a2e4a7e7e.svs	796bb6d0effc4e1849ffa0d769cdc7b4	173477933	released
d2a708ea-f9cd-485f-8917-060f7389f436	TCGA-B6-A0IP-01A-01-BSA.a052ef3d-7640-4a8a-8060-5f88d7ce9e94.svs	1fab0218a8fb145f88cb71bc25d21415	388871333	released
7b9dc5ce-a2bb-4e81-b4c4-157c36cfff05	TCGA-B6-A0IM-01A-01-BSA.e4fce1ac-0800-4e45-a3bc-f9bcb2ea825f.svs	af6132f0268bd6bc50a1abb27974366d	400155703	released
36f50699-4df9-41c8-a9cf-acda3c4a99e0	TCGA-B6-A0RM-01A-01-BSA.8b6ffe6e-5db9-49dc-b778-878a7d62c184.svs	223e91d36038fab8e1d859943766a5b7	125638373	released
d0f39dd1-c0de-47e8-b6a4-0e8ed50c9ccf	TCGA-AR-A0U2-01A-01-BSA.1bd5ddeb-f22c-4147-b905-0f1316e5903a.svs	d4bbce31c83060b5c562dda51b117241	126385977	released
40dcb3e6-1a31-44e9-8f8c-7f3a8639c7e3	TCGA-A2-A0T2-01A-01-BSA.3613219b-687b-419f-ac8f-33b668b72446.svs	7f0b1476ea80bf0f119e9d7da8c95932	185983223	released
de7496a3-c7e6-43e8-9530-24e74c14711d	TCGA-B6-A0IK-01A-01-BSA.37e0325b-a655-4b4c-b498-4717183addce.svs	25e56caf4d63bc5a91c8cf165e8613d4	198213385	released
740eb588-abd8-47b5-b9bb-6bf28da99b70	TCGA-A2-A0SV-01A-01-BSA.94a1dce7-dd72-40a0-8e19-a688d46281f5.svs	70078cd3f6030aa8ee92110d9b05bcbd	105770809	released
4ccf3a9b-8da7-4fee-810a-c634e9d6403a	TCGA-B6-A0IE-01A-01-BSA.d904d8fa-4297-40c3-9bf9-a3cc9dc9204e.svs	ddc44793b36efcd40068275f4b7066d3	269170807	released
93b11dca-0a2d-44d0-8f7e-e9672fe8fcfa	TCGA-AO-A0J5-01A-01-BSA.f74d988e-d646-4190-8e26-439347b71774.svs	c056a2189995282a106036b718e41c05	491922853	released
0a9ddad2-bf8f-4dc5-912b-aff08e1a5781	TCGA-A2-A0YT-01A-01-BSA.661675d9-4e62-4472-9102-166b9e1ffe92.svs	1774df8ec2f7dd05b7671a6ca4cd75a4	491835953	released
