id	filename	md5	size	state
7398b046-3caa-4acb-a02b-271d0f669df9	TCGA-A2-A3XS-01A-01-TS1.AFFAE37C-A13F-45C6-A323-025B310C46E0.svs	cb0a2169fb375f0d4d514cea7b7c4bc0	204488543	released
fda8af86-6adc-4dda-9842-4d75a78e9bc1	TCGA-E2-A2P5-01A-01-TS1.881A6B1B-6825-4D7A-828C-D4A0FCC5BAE1.svs	fddde557d83f17889bf4261941cc8fa0	454713635	released
3006a710-6b96-41f2-93fe-0d9ac351d6a4	TCGA-BH-A0C1-01B-01-TS1.34796b87-c808-47ff-8a33-ce181cd00674.svs	4321c133913beb1c5af8ea3e7239c5b6	250339763	released
8c97f736-ab41-4651-b74c-88c8ddf98cdf	TCGA-B6-A0WS-01A-01-TS1.13cafabb-f734-4639-9bc5-5d49a6ba33d0.svs	c51ac56d043345d5a7dc59cbf6f30572	111280047	released
a8d9b63f-f3b6-4fe0-bdee-c6086b73dabe	TCGA-AC-A2FM-11B-01-TS1.DEFA6432-60A4-4DDA-A3DA-3AF61B937CAB.svs	1202b6c971980f998f5b7655e746bf30	69254895	released
c826aee8-3e85-43d4-bf1c-bfc473a29e39	TCGA-B6-A0WW-01A-01-TS1.0b847cf2-8c5e-4f79-91c4-2781eaa137f9.svs	7918f38be0032b3279e261cf9a938666	117671631	released
89288e83-cff5-4b7e-9ed3-53dac741c7a1	TCGA-AC-A2FE-11B-01-TS1.A12C5B3D-5053-4293-9E46-8D7B0712E4D9.svs	a45fd50c9e5204bc2f3818e291704459	38533857	released
7b7c7182-b09a-4ece-b7ac-11cafe25a5e8	TCGA-AO-A03P-01A-01-TS1.32f23b98-dedf-4dce-b103-e1d2323a888c.svs	201a18d46bc5f46960d4db6caa733ed4	263751620	released
add981c8-db05-41d1-b6dd-081bab7f3ec5	TCGA-E2-A1LK-11A-01-TS1.A9F5C1EC-773C-46D5-9A7D-B8436106DEAA.svs	a5cca6f7ba3f6c241b8b2627412db041	92237097	released
444774a2-2db4-4fe9-91ad-27423f9156b0	TCGA-BH-A1FL-11A-01-TS1.073214cd-89f2-4a19-bea7-cd5c94d2dc5e.svs	8f1e3e43b6ca2a3f61cd8c80db8cfa19	62472881	released
