id	filename	md5	size	state
65062934-6a2c-4a20-9478-0e1d0a0498c1	TCGA-B6-A0WW-01A-01-BS1.5df4515e-cc30-4b30-abed-5055a8e40aa6.svs	5ef5c598444382a1e04261df589eaaae	149301709	released
722098be-d119-4dee-8d31-1788c2fc125a	TCGA-AO-A03P-01A-01-BS1.b5b1b2eb-6a49-4d06-a855-7263aaa78ac1.svs	cf021062e658e1eee7f168be329aee73	161680362	released
cf41ea9d-b7ed-498d-b54d-d8bc7d26f581	TCGA-BH-A0C1-01B-01-BS1.2fa43733-dfce-4806-99d1-ef0834132ff6.svs	41845eeb91b70dfd556a8e1e4fb8649f	212071701	released
e5b7701c-0ef9-41b5-b0f8-fe6d30b1683d	TCGA-A8-A09X-01A-01-BS1.6f6ae7cd-631e-4030-9183-725f5a48c942.svs	af8246590b1e78ff8a1ec2ab8fc12d62	625138071	released
8a30af3a-378b-4b59-822a-9cb515e71dac	TCGA-A2-A0CU-01A-01-BS1.37059615-5809-4066-992a-ec50f8c2041c.svs	14565faf200260710711b27c38513a68	326448953	released
bf3d8a67-e236-413e-9a61-d5d0776d6c94	TCGA-A8-A08T-01A-01-BS1.a4f425d3-222d-4ef0-96f4-97bdde661971.svs	7d4901f2c0473c31abe91315b53de2ff	290610869	released
57fc4e9c-c739-4294-9284-ede144e53eea	TCGA-B6-A0RS-01A-01-BS1.a630cccd-b4c6-4b3d-ae7b-6256dee4bba7.svs	9746fbadf5c5f102f1812afa4126927f	416181945	released
d8346a8e-5d58-4ee4-8b30-15aec7977f10	TCGA-A8-A06U-01A-01-BS1.1182603b-20e7-4a0e-a686-055841cf5ca4.svs	c01a5777f7fa91e02fd60f494616a67f	188469785	released
a42b9ace-7d3b-408e-b7aa-e4ae33a43a5a	TCGA-B6-A0WX-01A-01-BS1.d9e8bbaf-cd34-47a8-a4a8-e20bce98a5ab.svs	0d4efd6cfac7695772c62451f2147754	253910333	released
0288f8da-c35a-4fcd-ad76-b598b98cd41e	TCGA-B6-A0WV-01A-01-BS1.50bdea76-5591-45f4-8743-d420e5c0063e.svs	341c366941f6b34f980d8413d45c2409	106343281	released
9890368b-05a4-452b-971b-78c59f8d9f2c	TCGA-AO-A03O-01A-01-BS1.8b349194-04c1-4a85-947c-9397d5267823.svs	db0f7a1d540c97c4eb00bcda031231b5	212881992	released
0a469625-b1ec-4b52-9112-a47d27589c12	TCGA-A8-A08J-01A-01-BS1.c5948da8-a676-4cbf-819c-b636c968cf46.svs	262dc0c9f4ad1bd622affbdeeecc974d	343405243	released
e4524a6c-7261-463e-80e4-8c30dda2e9fe	TCGA-A7-A0DC-01A-01-BS1.1129f718-410c-4fb7-9eeb-7a04d76487b6.svs	72363906fbefeea082637dfb58eab867	392398151	released
